# Image Alt Attributes Inventory
# Format: File Path | Image Source | Current Alt Text
# Edit the "Current Alt Text" column and I will update all files accordingly

src/pages/checkout/index.tsx | {item.image} | Biryani Darbaar - {item.name}
src/components/Navbar.tsx | /assets/DABAAR.png | Biryani Darbaar - Logo
src/components/LargeImageView.tsx | {images[currentImage]} | Biryani Darbaar - Slide ${currentImage + 1}
src/components/Footer.tsx | /assets/DABAAR.png | Biryani Darbaar - Logo
src/components/sections/LocationSection.tsx | /assets/locationmap.png | Biryani Darbaar - Map
src/components/sliders/DineInMenuSlider.tsx | {item.image} | Biryani Darbaar - {item.label}
src/pages/About.tsx | /assets/biryani-image.jpg | Biryani Darbaar - Delicious Hyderabadi Biryani
src/pages/About.tsx | /assets/1.jpg | Biryani Darbaar - Variety of Indian Dishes
src/pages/About.tsx | /assets/chef2.png | Biryani Darbaar - Restaurant Ambience
src/components/modals/CartModal.tsx | {item.image} | Biryani Darbaar - {item.name}
src/pages/order/MenuCard.tsx | /assets/chilli-icon.png | Biryani Darbaar - Spice Level
src/pages/order/MenuCard.tsx | {imageUrl} | Biryani Darbaar - {title}
src/pages/order/SideBar.tsx | /assets/Order-spoon.png | Biryani Darbaar - Menu
src/pages/order/SideBar.tsx | /assets/order-girl.png | Biryani Darbaar - First Order Discount
src/components/sections/HeroSection.tsx | /assets/ordericon.png (RedButton image prop) | Biryani Darbaar - Order
src/components/sections/HeroSection.tsx | /assets/cateringicon.png (RedButton image prop) | Biryani Darbaar - Catering
src/components/sections/HeroSection.tsx | /assets/images/google-play.png | Biryani Darbaar - Download on Android
src/components/sections/HeroSection.tsx | /assets/images/app-store.png | Biryani Darbaar - Download on iOS
src/components/sections/HeroSection.tsx | /assets/smilyicon.svg | Biryani Darbaar
src/components/sections/HeroSection.tsx | /assets/Star.svg | Biryani Darbaar
src/components/sections/HeroSection.tsx | /assets/card1.png | Biryani Darbaar
src/components/sections/HeroSection.tsx | /assets/Girl.png | Biryani Darbaar - Food delivery
src/components/sections/HeroSection.tsx | /assets/mealcircle1.png | Biryani Darbaar
src/components/sections/HeroSection.tsx | /assets/mealcircle2.png | Biryani Darbaar
src/components/sections/HeroSection.tsx | /assets/mealcircle3.png | Biryani Darbaar
src/components/sections/HeroSection.tsx | /assets/mealcircle4.png | Biryani Darbaar
src/components/sections/MobileAppSection.tsx | /assets/images/play-store.png | Biryani Darbaar - Download on Android
src/components/sections/MobileAppSection.tsx | /assets/images/app-store.png | Biryani Darbaar - Download on iOS
src/components/sections/MobileAppSection.tsx | /assets/homechef2.png | Biryani Darbaar - Mobile App
src/components/sections/ServicesSection.tsx | /assets/homechef1.png | Biryani Darbaar - Chef
src/components/sections/ServicesSection.tsx | /assets/order.png | Biryani Darbaar - Online Order
src/components/sections/ServicesSection.tsx | /assets/24.7.png | Biryani Darbaar - 24/7 Services
src/components/sections/ServicesSection.tsx | /assets/booking.png (1st instance) | Biryani Darbaar - Pre-Reservation
src/components/sections/ServicesSection.tsx | /assets/booking.png (2nd instance) | Biryani Darbaar - Organized Place
src/components/sections/ServicesSection.tsx | /assets/booking.png (3rd instance) | Biryani Darbaar - Super Chef
src/components/sections/ServicesSection.tsx | /assets/booking.png (4th instance) | Biryani Darbaar - Clean Kitchen
src/components/sliders/ImageSlider.tsx | {offer.image} | Biryani Darbaar - {offer.title}
src/components/RedButton.tsx | {image} prop | Biryani Darbaar - {alt} prop (dynamic)
src/components/cards/ArchedCard.tsx | {image} prop | Biryani Darbaar - {title} prop (dynamic)
